8873,620,3935,2419,8563,1836,1111,5091,5747,4330,769,863,9610,954,3854,2609,8286,938,2971,1257,3519,1106,6464,8984,5498,3506,4956,8325,1361,644,3835,1944,6319,8735,3547,5927,3163,4304,9159,2327,4558,631,8025,7285,2347,6081,7483,717,4050,652,3216,5278,7001,6342,7370,5462,3534,8010,4501,3280,2388,7156,622,4782,1744,5705,510,9673,1416,9957,7314,3277,7832,7421,6482,5110,3100,78,5970,2221,9151,4101,9041,1394,5854,567,5061,5289,3866,9304,140,501,2427,4981,5393,2840,3602,6031,1310,2642
0,4114,2789,4519,9725,6857,2485,6391,6115,5345,4810,2740,8462,7183,4863,8253,1138,1683,8534,528,8681,9246,4719,1702,6462,2246,1812,8695,2571,3274,9396,8009,7596,7730,4688,4581,4555,8027,6210,7909,966,8599,9810,8965,5698,9368,3799,9581,8067,9411
1,7883,6109,2600,9421,1649,2714,512,5410,5455,3376,5684,9300,7437,4071,2268,6649,4618,8978,7840,9371,4627,2732,8199,6399,3612,8511,7328,2473,9315,1747,161,28,448,3668,1129,8898,3693,2014,7911,2748,998,5305,8097,706,6585,4529,6327,1239,886
2,9524,6550,1629,9605,3609,765,9067,3827,719,4081,1448,9301,4663,7983,831,8390,449,5088,5516,4761,3424,3791,9003,1199,5164,6866,8693,4017,8113,9433,2900,7990,4641,4717,4208,7224,4901,3635,6227,4693,8729,2279,9658,611,5554,3189,6418,5420,2135
3,8961,6507,960,5236,5806,5982,1606,3469,5751,5904,4879,490,4493,4605,6921,7621,9377,3495,2576,5855,6935,2078,9333,281,3742,3698,7904,6348,8261,4416,9460,5000,3012,1635,7796,2417,5912,8080,2440,2879,7457,4043,5438,7965,478,420,7432,1114,8440
4,5512,7236,6515,9565,2773,8703,4643,5951,1923,2759,826,1558,2681,7246,6530,7933,3198,8081,120,3699,9720,8941,7703,1386,8034,3917,1141,7358,8056,4788,2472,4503,2605,2986,6143,5673,8942,3056,7033,6172,3228,446,9477,4970,3719,2450,4032,4552,7351
5,2133,9710,4409,2281,6505,2609,6965,7308,5638,7135,4038,1871,7591,7075,3607,7418,360,4517,5129,5730,5997,5361,7690,7226,7612,6688,7127,1402,8921,4246,8358,9005,9788,220,4727,4432,2018,5397,8992,4891,4701,8723,4247,3109,6478,6560,8856,312,1215
6,4218,9724,2737,4697,8909,8559,4347,168,1466,2352,9614,8924,1874,866,3812,23,4773,1965,9993,3214,5135,801,3653,1441,5823,6917,1221,7919,4723,6974,3634,1306,3782,2815,8201,9777,5722,4597,6298,134,8814,7104,610,957,7010,284,6138,9142,567
7,1332,9440,3830,8037,6112,2292,1248,4279,3064,824,6181,1757,4316,4177,384,3530,5077,467,4096,3453,8379,3244,3795,9248,4683,9979,1679,5045,4290,4363,3010,4083,1047,6672,9660,8159,4649,243,4307,4523,8349,8744,9009,7758,8598,1143,8917,4767,9197
8,562,4344,3710,2787,2034,9033,483,743,4494,8655,1972,4929,8038,5221,3033,9789,729,3806,3589,3676,7654,5549,2064,632,1392,1715,5782,8504,1166,8751,1880,5302,6760,8996,584,5089,7046,9995,3777,4434,1666,6991,5790,4651,1609,5162,2723,9588,8654
9,3894,3328,1602,6368,2287,6140,2975,7202,5740,9781,7087,6125,6853,2754,5946,8382,3456,2146,5106,6496,8517,5750,2684,9888,4185,7782,4029,1556,1508,5692,5368,9479,7920,3059,4277,1592,3627,8672,1058,924,3472,2589,6633,8142,9147,3568,3890,4559,7259
10,8949,7062,6252,9883,8945,8628,3751,5528,5564,3019,5044,1645,9091,4948,1260,6402,1437,5318,6133,5853,4325,4680,3582,9343,3395,3748,7145,5125,1611,2608,7795,1573,8548,1925,2483,7285,1711,9940,3804,7490,696,8812,595,9221,2182,8819,3889,846,6722
11,2319,2181,6076,6212,371,3266,850,4690,491,7254,2522,7440,8872,8030,8233,3023,2711,4236,3866,3001,140,6336,2342,8500,5764,2380,8103,9437,1458,8342,9538,497,3691,9291,3579,2500,3738,8104,9599,3170,5718,6549,6304,7779,4182,3762,2095,1868,8800
12,2736,8931,6552,3600,700,6073,6852,8989,7113,6113,828,685,3008,378,2330,6950,4253,4260,7157,9439,2277,3545,1532,7574,6540,1196,6474,9082,8249,4007,2569,2634,2826,6397,6858,2813,7644,2213,3947,7000,4819,1334,5137,4881,4266,241,132,6652,6895
13,3116,8016,5734,8852,6200,5546,4613,2934,6534,7747,1791,6050,9481,5487,2176,2575,619,1162,3988,7392,394,7869,6390,4360,9472,2381,9641,4315,6137,6802,349,8573,1680,133,4734,5027,4626,3750,6824,3619,3026,6772,2506,3846,569,2964,2618,3200,6438
14,9204,9905,988,5400,3433,6666,7866,4642,7477,2765,1122,6447,4840,504,213,797,4006,6704,4606,517,8967,2592,9939,8256,3411,8270,3204,8798,5072,9162,9180,8028,1572,2373,5642,979,8414,2548,3250,4305,1888,2032,1328,8918,953,7576,9745,1660,5952
15,8010,7619,9821,9164,7378,5385,84,1067,8891,3452,1744,3021,9826,5676,2921,1492,2697,2532,3209,3000,7311,6128,86,4862,6604,1339,266,324,8252,1380,3853,8215,3150,1600,934,825,8731,4738,2693,2726,722,2534,3412,8058,9662,6152,8026,8678,7458
16,7025,3747,8796,4126,323,8939,4303,4900,3219,9469,1069,5330,8923,8560,5480,1958,6024,4703,8018,6337,4814,2720,5093,6884,1478,2908,7304,6477,8472,190,8280,3596,625,1274,207,6669,5035,5032,8875,2952,9287,3401,6132,6566,5315,804,3930,506,7234
17,8991,6146,2106,4080,2131,6934,5577,7879,6956,4231,3660,4191,4927,8689,2407,4227,1310,3222,568,6782,8631,4592,954,2068,6983,3509,8714,2880,2074,1258,9938,3441,4820,2590,7554,2814,8516,5656,9458,588,511,5747,8448,4489,7958,5914,5842,5217,414
18,1186,9822,9093,7292,4041,2031,6861,6574,4768,179,2640,1952,7270,6046,3903,7819,662,2173,7331,8713,4880,6873,4064,9992,7897,1324,7480,2184,1590,5700,877,2911,3522,7160,8680,9880,6238,2364,7406,1767,9832,8687,2790,6407,3460,101,6737,898,9573
19,1771,5744,7526,6412,8616,9389,5532,593,8082,8959,717,8376,4272,9915,3092,6333,6056,2579,2709,1531,9495,4472,2950,3732,31,6610,5063,9924,8841,8152,8857,296,9595,8327,9378,3367,9275,5816,2892,2105,7112,1382,7999,6706,2661,6458,3794,6182,2406
