1482,3386,6201,7196,7416,3964,7279,6084,2466,9881,6795,1105,131,2448,2266,5479,9974,6516,425,9264,8372,934,5405,899,6234,7817,4273,7593,7367,5474,2429,121,5502,1930,3283,212,5736,4991,7694,2583,1639,1516,8999,3560,2687,3623,5781,2914,9345,8498,2149,4638,6880,3903,2419,7535,3131,9266,7061,3632,312,2976,6507,3765,5,6401,5136,5712,7124,6716,8912,7528,9393,1312,9504,8053,8007,9418,2028,9824,3185,268,8268,31,2798,8442,9892,6423,7874,4426,9788,2254,1614,7560,1057,9515,5320,3257,169,1415
1179,953,9302,9591,8986,8708,6460,8025,79,4264,5952,8324,5562,8847,518,8516,5368,2054,1374,8287,6817,856,7295,9137,5964,2690,502,6275,8126,7456,4308,8218,7313,636,6726,7213,2092,5127,836,4982,8443,485,631,1832,5105,9362,8998,5065,2491,4146,4384,470,386,5285,5688,8469,8197,4658,8210,7198,7373,7770,3682,9762,5680,7865,6994,1773,4290,1744,7743,9948,2680,2818,9603,138,7820,493,5868,8670,2186,9629,186,8666,3825,1298,1086,2535,2615,9269,3907,858,4694,4776,1077,3163,9164,6170,5986,1834
6474,8873,8661,5082,7552,3691,2696,8012,7316,9091,6347,8209,6715,2980,6894,1968,2332,2444,4665,6771,4935,6636,5360,4968,9211,2150,1220,8235,4295,6362,5025,7922,7954,7640,5761,7270,137,1239,8796,9612,7032,2302,8758,4058,6946,4637,8887,6976,9551,2659,1573,5897,8895,4636,5700,4150,9952,1023,5628,1324,3644,3704,1814,6002,1753,8786,6459,6360,6213,6649,3506,4098,6202,2436,9440,6194,4781,5042,5477,2760,1804,3538,8761,3484,5260,2742,4958,4918,4909,591,5720,9146,7951,8731,4820,7750,5905,7686,7271,4590
2194,754,6778,6887,9985,5163,4253,4205,8427,1492,7283,3355,9504,9962,7510,6416,6466,7840,7015,2714,8265,2376,3791,143,826,6845,1688,8594,1116,2884,5678,9656,9772,7642,9760,9340,304,3056,5124,1872,5904,5828,260,6084,1376,646,5559,6776,1931,5795,384,5045,1618,9098,5630,488,2431,3720,2660,4907,8082,1253,4560,528,6290,6651,5162,7596,1662,1351,2040,38,7678,1812,7182,8886,3970,7005,2966,6858,2211,770,9652,4273,7049,212,8721,889,8879,7140,4276,8345,7736,9677,1402,5440,5332,4395,9681,7279
7245,6498,8451,8918,1826,8475,1314,8709,6375,935,2202,9880,5308,3218,6844,4201,8865,1170,8168,7774,1342,3146,7033,2633,3987,8316,1275,370,4714,3626,9147,6658,7226,8507,772,1088,674,1363,8449,3570,2845,4293,8254,4475,1287,6761,7975,7972,3470,2064,2360,207,1058,1270,5024,9878,6315,8678,4738,2718,4663,7452,6254,9814,4447,5771,1875,4332,9838,9118,5538,4336,3768,5430,8604,5841,6769,5516,5350,7620,7006,9598,9442,2801,8300,1066,7269,7354,4373,8045,8680,1127,5982,294,6204,5482,8640,3002,2765,1683
9720,7168,3512,5315,2568,9687,670,5346,262,1387,6520,5177,7215,6839,6092,3429,3757,5830,1854,7256,5316,9201,7058,744,1940,4544,8268,1047,7375,6934,9344,4136,778,8674,8062,1282,7192,1121,9220,2928,5148,1660,7793,5855,2134,1108,1004,4654,2681,6467,5706,6832,9158,8857,9233,8853,482,418,4382,6430,7612,4656,7239,8712,5280,8220,6259,2542,9756,1137,8759,5769,946,4111,5303,7638,3268,8488,3258,8213,9966,4258,8234,3471,9804,5638,3119,1032,8753,8541,9970,6600,5928,6486,224,5616,8116,9651,8159,9279
5936,1479,7606,5175,7851,4563,6089,7528,9075,5007,4025,2367,576,603,3794,7588,2553,3095,1361,5912,7184,2502,7986,8835,8349,1357,864,2914,1378,7281,8223,1443,1201,1143,3352,9108,2588,1969,4692,8772,3010,7813,2030,6879,4638,9727,1001,4153,2423,7136,9860,7142,1316,7830,4050,2338,7685,6810,3494,896,4152,5288,9661,5600,2447,4786,6269,9632,9408,2484,4129,2248,172,7267,3134,4139,9528,4880,1571,8309,9180,3392,9870,1477,527,2421,6607,6606,5881,2621,4165,5307,2792,5158,8221,7807,8978,1185,9773,2369
7190,8637,7255,5390,3870,120,5188,7478,2488,7803,5002,8693,9782,8152,9789,9799,665,4158,148,1408,7784,5666,8548,3252,2548,6470,8468,892,7264,4046,6868,3205,3072,2927,8110,8614,6905,8558,6017,6713,8104,1614,4825,7009,5704,5506,4834,7763,8109,5452,1423,4468,1512,9096,4721,1120,6198,4006,3998,6610,134,6504,8144,8228,8861,2682,7374,3370,7219,8447,1448,561,1276,547,2072,7962,4438,7125,6914,7995,8339,5529,4292,2728,5103,7898,3600,2268,7287,1172,3070,5028,5659,6818,5624,622,9534,1580,1341,1135
7134,9130,8202,4741,7722,5907,1518,3082,8669,8190,682,4329,9455,1410,9392,4488,7383,9266,8833,1033,8744,6246,718,444,8668,7207,1470,6973,6066,4005,7644,9027,2622,9216,7994,8645,5845,3810,7518,1175,9464,6944,6816,5171,3612,8552,7773,9397,7387,3030,6848,5052,3988,1549,8883,24,3898,2900,3524,2220,7074,117,5192,1136,7458,2324,9940,1514,7719,5414,7386,7649,514,3290,1244,4355,3740,5545,1235,846,54,7337,2550,5289,9221,7760,8178,8480,9294,9368,1140,1375,6004,2466,1404,1598,4576,4502,468,8093
2148,6987,5548,2707,3879,3365,623,3948,4137,9774,1009,6534,6604,8904,1702,5740,9386,5338,8859,6920,6962,2490,1666,2014,1289,9552,3273,6746,3288,3594,8086,788,9932,1097,4334,9348,8855,3044,4103,1075,9050,5654,1760,6927,8118,420,2856,8704,1586,3798,8509,9924,6006,6197,7308,9641,4156,3824,7704,854,6152,7721,9396,2410,9788,7347,5632,9390,2404,7329,3814,2070,4860,4850,5200,1207,2052,390,1920,3730,8821,3012,48,1148,7430,8898,7814,4634,5174,5068,3756,2598,3026,974,5684,8297,2426,5972,2960,6808
